file,scenario_number,overall,Alignment,Operational_Feasibility,Profit_Protection,Menu_Cohesion,Service_Speed,Training_Clarity,Brand_Fit,Specificity
scenario_001_output.txt,,3,2,4,3,3,4,3,2,3
scenario_002_output.txt,,3,3,3,3,2,4,2,3,2
scenario_003_output.txt,,3,3,3,2,2,4,3,2,2
scenario_004_output.txt,,3,3,4,3,2,3,4,2,4
scenario_005_output.txt,,3,3,4,4,3,4,3,3,4
scenario_006_output.txt,,3,3,4,3,3,4,2,4,3
scenario_007_output.txt,,3,3,4,2,3,2,3,3,2
scenario_008_output.txt,,3,4,4,4,3,4,3,3,3
scenario_009_output.txt,,2,2,3,2,2,3,2,2,3
scenario_011_output.txt,,3,3,4,4,2,3,3,2,2
scenario_012_output.txt,,4,5,3,4,5,3,3,5,4
scenario_013_output.txt,,3,3,4,3,3,4,3,2,3
scenario_014_output.txt,,3,3,3,3,2,2,2,3,4
scenario_101_output.txt,,3,3,4,3,4,5,4,2,3
scenario_102_output.txt,,4,4,5,4,4,5,4,4,3
scenario_103_output.txt,,4,4,3,4,5,4,3,4,3
scenario_001_output.txt,,3,3,3,4,3,4,3,2,3
scenario_002_output.txt,,3,4,3,3,3,5,4,4,3
scenario_003_output.txt,,3,4,3,3,4,4,3,4,2
scenario_004_output.txt,,3,3,4,3,2,3,3,3,4
scenario_005_output.txt,,4,4,4,4,4,4,4,3,4
scenario_006_output.txt,,3,4,3,4,4,3,2,4,3
scenario_007_output.txt,,3,3,4,3,3,2,2,3,2
scenario_008_output.txt,,3,3,4,4,3,4,3,3,3
scenario_009_output.txt,,3,3,3,3,4,3,2,2,3
scenario_011_output.txt,,3,3,3,4,3,3,2,3,2
scenario_012_output.txt,,4,5,3,4,4,3,3,5,4
scenario_013_output.txt,,3,3,4,4,3,5,4,3,3
scenario_014_output.txt,,3,3,3,4,3,2,3,3,3
scenario_101_output.txt,,3,2,4,3,3,4,3,2,3
scenario_102_output.txt,,4,4,4,4,4,4,4,4,3
scenario_103_output.txt,,4,4,4,4,5,4,3,4,4
scenario_021_output.txt,,3,4,3,3,3,4,3,3,3
scenario_022_output.txt,,4,4,4,4,4,4,3,4,3
scenario_023_output.txt,,3,4,3,4,3,4,3,3,3
scenario_024_output.txt,,3,4,3,2,4,3,4,4,3
scenario_025_output.txt,,3,3,4,2,2,4,3,3,3
